id,Membership Type,Gender,Age,Birthday,Date Created,Diary Date,Diary Type,Diary Title,Diary Class,Num of Content,Hour,Mapped Emotions,Diary Content,grouped_emotion
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-11-19 14:46:38,자유형식,,관찰하기,47,14,['중립'],"아침에 눈을 뜨자마자 창문을 열어 신선한 공기를 들이마셨다. 오늘은 날씨가 맑아서 그런지 기분이 조금 더 가벼웠다. 출근길, 지하철 안에서 책을 읽으며 시간을 보냈다. 회사에 도착해서는 동료들과 가벼운 인사를 나누고, 주어진 업무에 집중했다. 점심시간엔 가까운 카페에 들러 따뜻한 커피 한 잔을 마셨다. 오후엔 회의가 있었는데, 모두의 의견을 듣고 조율하는 데 시간이 걸렸다. 퇴근 후 집에 돌아와 간단히 저녁을 먹고, 드라마 한 편으로 하루를 마무리했다. 일상적이지만 그 속에 약간의 만족감이 스며든 하루였다.",['중립']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-11-22 21:44:25,자유형식,,관찰하기,79,21,"['불안/공포', '분노', '혐오']","오늘은 참 여러 가지 일들이 있었던 하루였다. 아침부터 하늘은 잔뜩 찌푸려 있었고, 버스를 기다리던 정류장에는 바람이 세차게 불었다. 회사로 가는 길에 마주친 낯선 사람의 시선이 유난히 따갑게 느껴졌다. 점심시간, 평소 좋아하던 음식이 입에 맞지 않아 그릇을 밀어내고 말았다. 오후에는 업무가 계속 꼬여서 머리가 복잡해졌고, 동료와의 작은 오해로 마음이 무겁기도 했다. 퇴근길에 마주친 거리의 고양이는 나를 힐끔 보고는 빠르게 사라졌다. 집에 돌아와 따뜻한 차 한 잔을 마시며, 창밖을 바라보니 비가 내리고 있었다. 하루의 끝에서야 비로소 마음이 조금 가라앉는 것 같았다. 모든 것이 지나가겠지, 그렇게 스스로를 다독였다.",['부정']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-11-25 13:36:57,자유형식,,관찰하기,120,13,"['편안함', '기쁨', '즐거움']","오늘은 유난히 맑은 하늘 아래에서 하루를 시작했다. 아침에 일어나자마자 창문을 열고 바람을 맞이했는데, 가슴까지 시원해지는 기분이었다. 점심에는 친구들과 함께 작은 카페에 갔는데, 그곳의 따뜻한 분위기와 맛있는 커피가 우리를 반겨줬다. 대화를 나누며 시간 가는 줄 모르고 웃다 보니, 어느새 저녁이 됐다. 집에 돌아오는 길, 거리의 불빛들이 반짝여 마음이 따뜻해졌다. 소소한 일상이지만, 오늘 하루는 참 풍성하고 여유로웠던 것 같다.",['긍정']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-11-29 07:12:48,자유형식,,관찰하기,20,7,"['편안함', '기쁨', '즐거움']","오늘은 아침부터 햇살이 방 안에 가득 들어왔다. 커튼을 살짝 열어보니 따뜻한 빛이 얼굴을 간질였다. 나는 가벼운 마음으로 일어났다. 근처 카페에 가서 커피를 한 잔 시키고, 창가에 앉아 지나가는 사람들을 바라보았다. 여유롭게 책을 읽으며 시간을 보냈는데, 문득 페이지를 넘기는 소리가 참 좋았다. 오후에는 친구들과 함께 공원에서 산책을 했다. 바람이 적당히 불어 기분이 상쾌했고, 친구들과 웃으며 이야기를 나누다 보니 시간이 훌쩍 지나갔다. 집에 돌아와서 저녁을 먹고, 평화로운 마음으로 하루를 마무리했다. 오늘은 특별할 것 없이 평범했지만, 소소한 것들이 참 따뜻하게 다가왔던 하루였다.",['긍정']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-12-02 09:28:04,자유형식,,관찰하기,20,9,"['편안함', '기쁨', '즐거움']","오늘은 날씨가 참 좋았다. 아침에 일어나 커피를 한잔 내려 마시며 창밖을 보니, 햇살이 따스하게 비추고 있었다. 친구와 약속이 있어서 동네 카페로 나가기로 했다. 카페에 도착하니 이미 친구가 기다리고 있었고, 우린 자연스럽게 최근 일들에 대해 얘기를 나눴다. 커피향과 함께 흘러나오는 음악이 마음을 편안하게 해줬다. 대화 중간중간 웃음이 터졌고, 오랜만에 느끼는 여유로운 시간이 참 좋았다. 집으로 돌아오는 길에 마주친 강아지가 꼬리를 흔들며 다가와서 잠시 놀아주기도 했다. 이런 소소한 순간들이 오늘 하루를 더욱 특별하게 만들어준 것 같다.",['긍정']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-12-01 16:32:59,자유형식,,관찰하기,9,16,"['우울/슬픔', '불안/공포']","오늘은 유난히 흐린 날씨였어. 아침에 일어나 커튼을 열었는데, 회색빛 하늘이 마치 내 기분을 닮았더라. 그래도 일어나야지 싶어서 준비하고 나갔어. 지하철에서 이어폰을 꽂고 좋아하는 노래를 들었는데, 멜로디가 오늘따라 묘하게 마음에 스며들더라. 회사에서는 동료들과 웃으면서 일했지만, 마음 한구석은 가끔 텅 빈 것 같았어. 점심시간엔 공원에 나가 잠시 산책을 했고, 바람이 얼굴을 스치는 느낌이 참 좋았어. 집에 돌아오는 길, 책방에 들러 새로운 소설 한 권을 샀어. 오늘은 조금 일찍 잠들고 싶어. 내일은 더 맑았으면 좋겠다.",['부정']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-11-06 12:27:39,자유형식,,관찰하기,274,12,"['편안함', '기쁨', '즐거움']","오늘 하루는 유난히 맑은 하늘 아래 시작되었다. 아침 햇살이 방 안으로 스며들며 나를 부드럽게 깨워주었다. 커피 한 잔을 내리며 창밖을 바라보니, 이웃의 고양이가 유유히 길을 걷고 있었다. 가벼운 발걸음으로 집을 나서, 공원 벤치에 앉아 책을 읽었다. 바람에 나뭇잎이 살랑거리며 반짝였다. 친구들과의 점심 약속은 언제나처럼 웃음소리로 가득했다. 함께한 시간은 빠르게 지나갔지만, 마음에 남은 따스함은 오래도록 머물렀다. 집으로 돌아오는 길, 노을이 온 세상을 감싸 안으며 하루를 마무리했다. 오늘은 작은 것들이 주는 행복을 온전히 느낄 수 있었던 날이었다.",['긍정']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-12-03 10:30:27,자유형식,,관찰하기,29,10,['중립'],"오늘은 특별할 것 없이 평범한 하루였다. 아침에 일어나 커피 한 잔을 마시며 창밖을 바라보니, 가을이 깊어가는 느낌이 들었다. 출근길에는 버스 창문 너머로 바쁜 사람들의 모습이 스쳐 지나갔다. 점심으로는 회사 근처 작은 식당에서 김치찌개를 먹었는데, 익숙한 맛이 위로가 됐다. 오후에는 업무에 집중하다 문득 창밖을 보니 구름이 잔뜩 끼어 있었다. 퇴근 후 집에 돌아와서는 책 한 권을 읽으며 시간을 보냈다. 평소처럼 조용하고 차분한 하루였지만, 이런 날도 나쁘지 않다.",['중립']
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-11-08 19:54:00,자유형식,,관찰하기,56,19,"['중립', '편안함']","아침 햇살이 방 창문을 부드럽게 비추며 하루가 시작되었다. 커피 한 잔을 내려 마시며 창밖을 바라보니, 거리에는 사람들이 분주히 움직이고 있었다. 출근길에 오른 사람들, 산책 중인 강아지와 주인, 그리고 나무 사이로 스며드는 가을 바람. 오늘은 특별한 일이 없었지만, 일상의 소소한 순간들이 오히려 마음을 편안하게 해주었다. 점심엔 친구와 만나 가벼운 수다를 나누며 웃었고, 저녁엔 집에서 좋아하는 음악을 들으며 책을 읽었다. 그렇게 하루가 지나가고, 나는 나만의 속도로 하루를 마무리한다.","['중립', '긍정']"
0011E627-FBF9-4B8B-88CE-5B5FF4335BAC,,NotFixed,25,2000-09-01 00:00:00,2024-11-30 07:11:46,2024-11-21 12:20:43,자유형식,,관찰하기,87,12,"['중립', '편안함']","오늘은 평소처럼 아침에 일어나 커피 한 잔으로 하루를 시작했다. 창밖을 보니 구름이 하늘을 덮고 있었지만, 그 나름대로의 매력이 느껴졌다. 출근길 지하철 안에서 읽던 책이 흥미로워 페이지를 넘기는 손이 바빴다. 회사에서는 동료들과 점심으로 간단한 샌드위치를 먹으며 가벼운 이야기를 나눴다. 일을 마치고 집에 돌아오는 길에는 가로등 불빛이 따뜻하게 느껴졌다. 집에 와서는 좋아하는 음악을 틀어놓고 저녁을 준비했다. 이렇게 평화롭고 잔잔한 하루가 가끔은 가장 소중하게 느껴지는 법이다.","['중립', '긍정']"
